# n=10
# target=20
# trajectory_id=131
# R=300
# T=3.0
# seed=2532601429470541124
# α=8.0, β=1.0, γ=4.0
# timestamp=2026-02-14T19:07:09Z
#
# Grid (0/1):
0 0 1 0 0 1 0 0 0 0
0 0 0 0 0 0 1 0 1 0
0 0 1 0 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 1
1 1 0 0 0 0 0 0 0 0
0 1 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 1
1 0 0 0 1 0 0 0 0 0
0 0 0 0 0 0 1 1 0 0
0 0 0 1 1 0 0 0 0 0
#
# Coordinates (row, col):
(1, 3)
(1, 6)
(2, 7)
(2, 9)
(3, 3)
(3, 9)
(4, 6)
(4, 10)
(5, 1)
(5, 2)
(6, 2)
(6, 4)
(7, 8)
(7, 10)
(8, 1)
(8, 5)
(9, 7)
(9, 8)
(10, 4)
(10, 5)
