# n=10
# target=20
# trajectory_id=25
# R=5120
# T=10.0
# seed=9071262756517388145
# α=16.666666, β=1.0, γ=5.0
# method=Metal GPU Custom RK4 Kernel
# timestamp=2026-02-09T20:24:04Z
#
# Grid (0/1):
0 0 0 0 0 0 1 1 0 0
0 1 1 0 0 0 0 0 0 0
0 0 0 0 1 0 1 0 0 0
0 1 0 0 0 0 0 0 0 1
1 0 0 0 1 0 0 0 0 0
0 0 0 0 0 0 0 0 1 1
0 0 0 0 0 1 0 0 1 0
1 0 0 1 0 0 0 0 0 0
0 0 0 0 0 1 0 1 0 0
0 0 1 1 0 0 0 0 0 0
#
# Coordinates (row, col):
(1, 7)
(1, 8)
(2, 2)
(2, 3)
(3, 5)
(3, 7)
(4, 2)
(4, 10)
(5, 1)
(5, 5)
(6, 9)
(6, 10)
(7, 6)
(7, 9)
(8, 1)
(8, 4)
(9, 6)
(9, 8)
(10, 3)
(10, 4)
