# n=10
# target=20
# trajectory_id=247
# R=5000
# T=10.0
# seed=16511209438196028124
# α=16.666666, β=1.0, γ=5.0
# method=Metal GPU Line-Based Custom RK4 Kernel
# timestamp=2026-02-11T12:24:40Z
#
# Grid (0/1):
0 0 0 0 1 0 0 1 0 0
0 0 0 0 0 1 0 0 1 0
0 1 1 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 0 1 0 1
1 0 1 0 0 0 0 0 0 0
0 0 0 0 1 0 1 0 0 0
0 1 0 1 0 0 0 0 0 0
0 0 0 0 0 0 1 0 0 1
0 0 0 1 0 1 0 0 0 0
#
# Coordinates (row, col):
(1, 5)
(1, 8)
(2, 6)
(2, 9)
(3, 2)
(3, 3)
(4, 1)
(4, 9)
(5, 8)
(5, 10)
(6, 1)
(6, 3)
(7, 5)
(7, 7)
(8, 2)
(8, 4)
(9, 7)
(9, 10)
(10, 4)
(10, 6)
