# n=10
# target=20
# trajectory_id=162
# R=5000
# T=10.0
# seed=1756580414961191094
# α=16.666666, β=1.0, γ=5.0
# method=Metal GPU Line-Based Custom RK4 Kernel (v3)
# col_normalization=mean-incidence
# timestamp=2026-02-12T15:07:06Z
#
# Grid (0/1):
0 1 0 0 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 1
0 0 0 1 0 1 0 0 0 0
1 0 1 0 0 0 0 0 0 0
0 0 0 0 1 0 1 0 0 0
0 0 0 0 0 0 0 1 0 1
1 0 0 0 0 0 1 0 0 0
0 0 1 0 1 0 0 0 0 0
0 1 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 1 1 0
#
# Coordinates (row, col):
(1, 2)
(1, 9)
(2, 6)
(2, 10)
(3, 4)
(3, 6)
(4, 1)
(4, 3)
(5, 5)
(5, 7)
(6, 8)
(6, 10)
(7, 1)
(7, 7)
(8, 3)
(8, 5)
(9, 2)
(9, 4)
(10, 8)
(10, 9)
