# n=10
# target=20
# trajectory_id=711
# R=1200
# T=6.0
# seed=1766186853405588596
# α=8.0, β=1.0, γ=4.0
# method=ROCm AMDGPU Line-Based Custom RK4 Kernel (v1)
# col_normalization=mean-incidence
# timestamp=2026-02-14T20:45:23Z
#
# Grid (0/1):
0 0 0 0 0 0 1 0 0 1
0 0 1 1 0 0 0 0 0 0
0 0 0 1 0 1 0 0 0 0
0 1 1 0 0 0 0 0 0 0
0 0 0 0 0 0 1 0 1 0
0 0 0 0 0 0 0 0 1 1
1 0 0 0 0 1 0 0 0 0
0 0 0 0 1 0 0 1 0 0
1 1 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 1 0 0
#
# Coordinates (row, col):
(1, 7)
(1, 10)
(2, 3)
(2, 4)
(3, 4)
(3, 6)
(4, 2)
(4, 3)
(5, 7)
(5, 9)
(6, 9)
(6, 10)
(7, 1)
(7, 6)
(8, 5)
(8, 8)
(9, 1)
(9, 2)
(10, 5)
(10, 8)
