# n=10
# target=20
# trajectory_id=5
# R=0
# T=10.0
# seed=15989895724064632485
# α=16.594228558316942, β=1.0, γ=4.82385567094904
# method=ROCm AMDGPU Hybrid CPU-GPU with Local Repair (v2)
# col_normalization=mean-incidence
# timestamp=2026-02-13T19:51:30Z
#
# Grid (0/1):
0 1 0 0 1 0 0 0 0 0
0 0 0 0 0 0 1 1 0 0
1 0 1 0 0 0 0 0 0 0
0 0 0 0 1 0 1 0 0 0
0 1 0 0 0 0 0 1 0 0
1 0 0 0 0 0 0 0 0 1
0 0 0 1 0 1 0 0 0 0
0 0 0 1 0 0 0 0 0 1
0 0 1 0 0 0 0 0 1 0
0 0 0 0 0 1 0 0 1 0
#
# Coordinates (row, col):
(1, 2)
(1, 5)
(2, 7)
(2, 8)
(3, 1)
(3, 3)
(4, 5)
(4, 7)
(5, 2)
(5, 8)
(6, 1)
(6, 10)
(7, 4)
(7, 6)
(8, 4)
(8, 10)
(9, 3)
(9, 9)
(10, 6)
(10, 9)
