# n=10
# target=20
# trajectory_id=329
# R=500
# T=15.0
# seed=11145705876334639614
# α=16.666666666666668, β=1.0, γ=5.0
# method=CPU Tsit5 Line-Based Gradient Flow (v6)
# coeff_mode=normalized
# col_normalization=mean-incidence
# timestamp=2026-02-20T12:32:56Z
#
# Grid (0/1):
0 0 0 0 0 0 0 1 0 1
0 1 0 0 1 0 0 0 0 0
0 0 1 0 1 0 0 0 0 0
0 0 0 0 0 0 1 0 1 0
1 0 0 0 0 0 0 0 0 1
0 0 0 1 0 0 1 0 0 0
1 0 1 0 0 0 0 0 0 0
0 0 0 0 0 1 0 0 1 0
0 0 0 0 0 1 0 1 0 0
0 1 0 1 0 0 0 0 0 0
#
# Coordinates (row, col):
(1, 8)
(1, 10)
(2, 2)
(2, 5)
(3, 3)
(3, 5)
(4, 7)
(4, 9)
(5, 1)
(5, 10)
(6, 4)
(6, 7)
(7, 1)
(7, 3)
(8, 6)
(8, 9)
(9, 6)
(9, 8)
(10, 2)
(10, 4)
