# n=10
# target=20
# trajectory_id=4689
# R=5120
# T=30.0
# seed=15308759650025797761
# α=10.0, β=1.0, γ=5.0
# method=Metal GPU Tsit5 Line-Based Gradient Flow (v6_metal)
# precision=Float32
# coeff_mode=normalized
# col_normalization=mean-incidence
# timestamp=2026-02-20T12:52:24Z
#
# Grid (0/1):
0 0 0 0 0 1 0 1 0 0
1 0 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 1
0 0 0 1 1 0 0 0 0 0
1 0 0 0 0 0 0 0 1 0
0 1 0 0 0 0 0 0 0 1
0 0 0 0 0 0 1 0 1 0
0 1 1 0 0 0 0 0 0 0
0 0 1 0 0 1 0 0 0 0
0 0 0 0 1 0 1 0 0 0
#
# Coordinates (row, col):
(1, 6)
(1, 8)
(2, 1)
(2, 4)
(3, 8)
(3, 10)
(4, 4)
(4, 5)
(5, 1)
(5, 9)
(6, 2)
(6, 10)
(7, 7)
(7, 9)
(8, 2)
(8, 3)
(9, 3)
(9, 6)
(10, 5)
(10, 7)
