# n=11
# target=22
# trajectory_id=58
# R=5120
# T=10.0
# seed=6201401038580628059
# α=25.0, β=1.0, γ=5.0
# method=Metal GPU Custom RK4 Kernel
# timestamp=2026-02-09T20:30:32Z
#
# Grid (0/1):
0 0 0 0 0 1 0 1 0 0 0
0 0 1 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 1
0 1 0 0 1 0 0 0 0 0 0
1 0 1 0 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 0 0 1 0 1
0 0 0 0 0 0 1 0 0 1 0
1 0 0 1 0 0 0 0 0 0 0
0 0 0 0 0 0 1 0 1 0 0
0 0 0 1 0 1 0 0 0 0 0
#
# Coordinates (row, col):
(1, 6)
(1, 8)
(2, 3)
(2, 5)
(3, 8)
(3, 11)
(4, 2)
(4, 5)
(5, 1)
(5, 3)
(6, 2)
(6, 10)
(7, 9)
(7, 11)
(8, 7)
(8, 10)
(9, 1)
(9, 4)
(10, 7)
(10, 9)
(11, 4)
(11, 6)
