# n=11
# target=22
# trajectory_id=87
# R=5000
# T=10.0
# seed=4171069366947479634
# α=18.32219, β=1.0, γ=4.5
# method=Metal GPU Line-Based Custom RK4 Kernel
# timestamp=2026-02-11T12:25:06Z
#
# Grid (0/1):
0 0 0 0 0 1 0 1 0 0 0
0 0 1 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 1
0 1 0 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 1
0 1 0 0 0 0 0 0 0 1 0
1 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1 0 0 1 0
1 0 0 1 0 0 0 0 0 0 0
0 0 0 0 0 0 1 0 1 0 0
0 0 0 1 0 1 0 0 0 0 0
#
# Coordinates (row, col):
(1, 6)
(1, 8)
(2, 3)
(2, 5)
(3, 8)
(3, 11)
(4, 2)
(4, 5)
(5, 9)
(5, 11)
(6, 2)
(6, 10)
(7, 1)
(7, 3)
(8, 7)
(8, 10)
(9, 1)
(9, 4)
(10, 7)
(10, 9)
(11, 4)
(11, 6)
