# n=11
# target=22
# trajectory_id=3494
# R=5000
# T=10.0
# seed=7170624691091078455
# α=10.0, β=1.0, γ=4.5
# method=Metal GPU Line-Based Custom RK4 Kernel (v3)
# col_normalization=mean-incidence
# timestamp=2026-02-12T18:05:38Z
#
# Grid (0/1):
0 0 1 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 1
0 0 0 0 0 0 1 0 1 0 0
0 1 0 1 0 0 0 0 0 0 0
0 0 0 0 0 1 0 0 0 1 0
1 0 0 0 0 0 0 0 0 0 1
0 1 0 0 0 1 0 0 0 0 0
0 0 0 0 0 0 0 1 0 1 0
0 0 1 0 1 0 0 0 0 0 0
1 0 0 1 0 0 0 0 0 0 0
0 0 0 0 0 0 1 0 1 0 0
#
# Coordinates (row, col):
(1, 3)
(1, 5)
(2, 8)
(2, 11)
(3, 7)
(3, 9)
(4, 2)
(4, 4)
(5, 6)
(5, 10)
(6, 1)
(6, 11)
(7, 2)
(7, 6)
(8, 8)
(8, 10)
(9, 3)
(9, 5)
(10, 1)
(10, 4)
(11, 7)
(11, 9)
