# n=11
# target=22
# trajectory_id=3697
# R=5120
# T=15.0
# seed=221144935657157939
# α=10.0, β=1.0, γ=4.5
# method=ROCm AMDGPU Line-Based Custom RK4 Kernel (v1)
# col_normalization=mean-incidence
# timestamp=2026-02-12T17:49:04Z
#
# Grid (0/1):
0 0 1 1 0 0 0 0 0 0 0
1 0 0 0 0 0 1 0 0 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 1 1 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 1
0 0 0 0 0 0 0 1 0 1 0
1 0 1 0 0 0 0 0 0 0 0
0 0 0 0 1 0 1 0 0 0 0
0 1 0 0 0 1 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1 1
0 1 0 0 0 1 0 0 0 0 0
#
# Coordinates (row, col):
(1, 3)
(1, 4)
(2, 1)
(2, 7)
(3, 8)
(3, 9)
(4, 4)
(4, 5)
(5, 9)
(5, 11)
(6, 8)
(6, 10)
(7, 1)
(7, 3)
(8, 5)
(8, 7)
(9, 2)
(9, 6)
(10, 10)
(10, 11)
(11, 2)
(11, 6)
