# n=11
# target=22
# trajectory_id=2627
# R=4000
# T=15.0
# seed=6012415491296809256
# α=10.0, β=1.0, γ=4.5
# method=CPU Tsit5 Line-Based Gradient Flow (v6)
# coeff_mode=normalized
# col_normalization=mean-incidence
# timestamp=2026-02-20T12:38:53Z
#
# Grid (0/1):
1 0 0 0 1 0 0 0 0 0 0
1 0 0 0 0 0 0 1 0 0 0
0 0 0 0 1 0 0 0 0 1 0
0 0 1 0 0 1 0 0 0 0 0
0 0 0 0 0 0 0 1 0 1 0
0 0 1 0 0 0 0 0 1 0 0
0 1 0 1 0 0 0 0 0 0 0
0 0 0 0 0 1 0 0 1 0 0
0 1 0 0 0 0 1 0 0 0 0
0 0 0 1 0 0 0 0 0 0 1
0 0 0 0 0 0 1 0 0 0 1
#
# Coordinates (row, col):
(1, 1)
(1, 5)
(2, 1)
(2, 8)
(3, 5)
(3, 10)
(4, 3)
(4, 6)
(5, 8)
(5, 10)
(6, 3)
(6, 9)
(7, 2)
(7, 4)
(8, 6)
(8, 9)
(9, 2)
(9, 7)
(10, 4)
(10, 11)
(11, 7)
(11, 11)
