# n=12
# target=24
# R=2000
# T=30.0
# seed=15367319424610239429
# timestamp=2026-02-02T14:01:43Z
#
# Grid (0/1):
0 1 0 0 0 0 1 0 0 0 0 0
0 0 0 0 0 0 0 1 0 1 0 0
0 0 0 0 1 0 1 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 1 0
0 1 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 1 0
0 0 0 1 0 0 0 0 0 0 0 1
1 0 1 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 1
0 0 1 0 0 1 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 1 0 0
1 0 0 0 0 1 0 0 0 0 0 0
#
# Coordinates (row, col):
(1, 2)
(1, 7)
(2, 8)
(2, 10)
(3, 5)
(3, 7)
(4, 8)
(4, 11)
(5, 2)
(5, 4)
(6, 9)
(6, 11)
(7, 4)
(7, 12)
(8, 1)
(8, 3)
(9, 9)
(9, 12)
(10, 3)
(10, 6)
(11, 5)
(11, 10)
(12, 1)
(12, 6)
