# n=12
# target=24
# trajectory_id=897
# R=5120
# T=10.0
# seed=3406665384017626968
# α=35.0, β=1.0, γ=5.0
# method=Metal GPU Custom RK4 Kernel
# timestamp=2026-02-09T20:31:47Z
#
# Grid (0/1):
1 0 0 0 0 1 0 0 0 0 0 0
0 0 0 0 0 0 1 0 1 0 0 0
0 0 1 0 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1 0 1
1 0 1 0 0 0 0 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 1 0 1 0
0 1 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 1 0
0 1 0 0 1 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 1 0 0
0 0 0 0 1 0 1 0 0 0 0 0
#
# Coordinates (row, col):
(1, 1)
(1, 6)
(2, 7)
(2, 9)
(3, 3)
(3, 6)
(4, 10)
(4, 12)
(5, 1)
(5, 3)
(6, 4)
(6, 12)
(7, 9)
(7, 11)
(8, 2)
(8, 4)
(9, 8)
(9, 11)
(10, 2)
(10, 5)
(11, 8)
(11, 10)
(12, 5)
(12, 7)
