# n=12
# target=24
# trajectory_id=19
# R=5000
# T=10.0
# seed=8608145977427614880
# α=17.560976, β=1.0, γ=4.5
# method=Metal GPU Line-Based Custom RK4 Kernel
# timestamp=2026-02-11T12:25:38Z
#
# Grid (0/1):
0 0 0 0 1 0 1 0 0 0 0 0
0 0 0 0 0 0 0 1 0 1 0 0
0 0 1 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 1 0 0 1 0
0 1 0 0 1 0 0 0 0 0 0 0
1 0 1 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1 0 1
1 0 0 0 0 0 0 0 1 0 0 0
0 1 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 1 0 0 0 0 1 0
0 0 0 0 0 0 1 0 1 0 0 0
0 0 0 1 0 1 0 0 0 0 0 0
#
# Coordinates (row, col):
(1, 5)
(1, 7)
(2, 8)
(2, 10)
(3, 3)
(3, 12)
(4, 8)
(4, 11)
(5, 2)
(5, 5)
(6, 1)
(6, 3)
(7, 10)
(7, 12)
(8, 1)
(8, 9)
(9, 2)
(9, 4)
(10, 6)
(10, 11)
(11, 7)
(11, 9)
(12, 4)
(12, 6)
