# n=12
# target=24
# trajectory_id=655
# R=5000
# T=10.0
# seed=16526498339278235174
# α=10.0, β=1.0, γ=4.5
# method=Metal GPU Line-Based Custom RK4 Kernel (v3)
# col_normalization=mean-incidence
# timestamp=2026-02-12T18:06:57Z
#
# Grid (0/1):
0 0 0 0 0 0 0 1 0 0 0 1
0 0 1 0 1 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 1 0 0
0 0 0 0 1 0 1 0 0 0 0 0
1 0 1 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1 0 1
1 0 0 0 0 0 0 0 1 0 0 0
0 1 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 1 0 0 0 0 1 0
0 1 0 0 0 0 0 0 1 0 0 0
0 0 0 1 0 1 0 0 0 0 0 0
0 0 0 0 0 0 1 0 0 0 1 0
#
# Coordinates (row, col):
(1, 8)
(1, 12)
(2, 3)
(2, 5)
(3, 8)
(3, 10)
(4, 5)
(4, 7)
(5, 1)
(5, 3)
(6, 10)
(6, 12)
(7, 1)
(7, 9)
(8, 2)
(8, 4)
(9, 6)
(9, 11)
(10, 2)
(10, 9)
(11, 4)
(11, 6)
(12, 7)
(12, 11)
