# n=12
# target=24
# trajectory_id=53
# R=5120
# T=15.0
# seed=221144935657157939
# α=10.0, β=1.0, γ=4.5
# method=ROCm AMDGPU Line-Based Custom RK4 Kernel (v1)
# col_normalization=mean-incidence
# timestamp=2026-02-12T17:49:59Z
#
# Grid (0/1):
1 0 0 0 0 0 0 0 1 0 0 0
0 0 0 0 0 1 0 0 0 1 0 0
0 1 0 0 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 1 0
0 1 0 0 1 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 1 0
1 0 0 0 0 0 0 0 0 0 0 1
0 0 1 0 1 0 0 0 0 0 0 0
0 0 0 0 0 0 1 0 0 1 0 0
0 0 1 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1 0 0 0 0 1
0 0 0 1 0 0 0 1 0 0 0 0
#
# Coordinates (row, col):
(1, 1)
(1, 9)
(2, 6)
(2, 10)
(3, 2)
(3, 6)
(4, 8)
(4, 11)
(5, 2)
(5, 5)
(6, 9)
(6, 11)
(7, 1)
(7, 12)
(8, 3)
(8, 5)
(9, 7)
(9, 10)
(10, 3)
(10, 4)
(11, 7)
(11, 12)
(12, 4)
(12, 8)
