# n=13
# target=26
# R=5000
# T=30.0
# seed=14033447327174258290
# timestamp=2026-02-02T14:41:43Z
#
# Grid (0/1):
0 0 0 0 0 0 1 0 0 1 0 0 0
0 0 0 0 1 1 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 0 0 1
0 1 0 0 1 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1 1
0 0 0 0 0 1 0 1 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 1 0 0
0 0 1 0 0 0 0 0 1 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 0 0 1 0 1 0 0
0 1 0 1 0 0 0 0 0 0 0 0 0
0 0 0 1 0 0 1 0 0 0 0 0 0
#
# Coordinates (row, col):
(1, 7)
(1, 10)
(2, 5)
(2, 6)
(3, 8)
(3, 13)
(4, 2)
(4, 5)
(5, 1)
(5, 10)
(6, 12)
(6, 13)
(7, 6)
(7, 8)
(8, 1)
(8, 11)
(9, 3)
(9, 9)
(10, 3)
(10, 12)
(11, 9)
(11, 11)
(12, 2)
(12, 4)
(13, 4)
(13, 7)
