# n=13
# target=26
# trajectory_id=314
# R=5120
# T=10.0
# seed=8824782102716344619
# α=25.0, β=1.0, γ=5.0
# method=Metal GPU Custom RK4 Kernel
# timestamp=2026-02-09T22:08:26Z
#
# Grid (0/1):
0 0 0 0 1 0 1 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 1 0 0 0
0 0 0 0 0 0 0 1 0 0 0 1 0
0 1 0 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 0 0 1
0 0 1 1 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 1 1 0 0
1 0 0 0 0 1 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 1 0
0 1 0 0 0 1 0 0 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 1 0 1 0 0 0 0
#
# Coordinates (row, col):
(1, 5)
(1, 7)
(2, 3)
(2, 10)
(3, 8)
(3, 12)
(4, 2)
(4, 5)
(5, 8)
(5, 13)
(6, 3)
(6, 4)
(7, 1)
(7, 13)
(8, 10)
(8, 11)
(9, 1)
(9, 6)
(10, 9)
(10, 12)
(11, 2)
(11, 6)
(12, 4)
(12, 11)
(13, 7)
(13, 9)
