# n=13
# target=26
# trajectory_id=2
# R=5120
# T=15.0
# seed=221144935657157939
# α=10.0, β=1.0, γ=4.5
# method=ROCm AMDGPU Line-Based Custom RK4 Kernel (v1)
# col_normalization=mean-incidence
# timestamp=2026-02-12T18:07:56Z
#
# Grid (0/1):
1 0 0 0 0 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 1 0 0 0
0 0 0 1 0 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 0 1
0 1 0 0 0 1 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 0 1
0 1 0 0 0 0 0 0 0 0 0 1 0
0 0 1 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 1 0
0 0 1 0 0 1 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 1 0 0 0
0 0 0 1 0 0 0 1 0 0 0 0 0
1 0 0 0 1 0 0 0 0 0 0 0 0
#
# Coordinates (row, col):
(1, 1)
(1, 7)
(2, 8)
(2, 10)
(3, 4)
(3, 7)
(4, 11)
(4, 13)
(5, 2)
(5, 6)
(6, 11)
(6, 13)
(7, 2)
(7, 12)
(8, 3)
(8, 5)
(9, 9)
(9, 12)
(10, 3)
(10, 6)
(11, 9)
(11, 10)
(12, 4)
(12, 8)
(13, 1)
(13, 5)
