# n=14
# target=28
# trajectory_id=18621
# R=20000
# T=60.0
# seed=11531505354723872902
# α=350.0, β=1.0, γ=20.0
# timestamp=2026-02-02T22:53:12Z
#
# Grid (0/1):
0 0 0 0 0 0 0 0 0 1 0 0 1 0
0 0 1 0 0 0 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1 0 1 0 0
0 1 0 0 1 0 0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 1 0 0 0 0 0
0 0 0 0 0 1 0 0 1 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 0 0 0 1 0 0 1
0 0 0 1 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 1 0 0 0 0 0 0 0 0
1 0 0 0 0 0 1 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 1 0 0 0
0 0 0 1 0 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 1 1 0 0 0 0 0 0
#
# Coordinates (row, col):
(1, 10)
(1, 13)
(2, 3)
(2, 8)
(3, 10)
(3, 12)
(4, 2)
(4, 5)
(5, 3)
(5, 9)
(6, 6)
(6, 9)
(7, 2)
(7, 12)
(8, 11)
(8, 14)
(9, 4)
(9, 14)
(10, 1)
(10, 6)
(11, 1)
(11, 7)
(12, 5)
(12, 11)
(13, 4)
(13, 13)
(14, 7)
(14, 8)
