# n=14
# target=28
# trajectory_id=3807
# R=5000
# T=10.0
# seed=14459317743565842656
# α=10.0, β=1.0, γ=4.5
# method=Metal GPU Line-Based Custom RK4 Kernel (v3)
# col_normalization=mean-incidence
# timestamp=2026-02-12T18:10:38Z
#
# Grid (0/1):
0 0 0 0 0 0 0 1 1 0 0 0 0 0
0 0 0 0 0 0 1 0 0 0 0 1 0 0
0 0 1 1 0 0 0 0 0 0 0 0 0 0
0 0 0 1 0 0 1 0 0 0 0 0 0 0
0 1 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1 0 1
0 0 0 0 0 0 0 0 1 0 1 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 1 0 1 0
1 0 0 0 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 1 0 0 0 1 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 1 0
0 1 0 0 0 0 0 1 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 1 0 0 0 0
#
# Coordinates (row, col):
(1, 8)
(1, 9)
(2, 7)
(2, 12)
(3, 3)
(3, 4)
(4, 4)
(4, 7)
(5, 2)
(5, 3)
(6, 12)
(6, 14)
(7, 9)
(7, 11)
(8, 5)
(8, 14)
(9, 11)
(9, 13)
(10, 1)
(10, 6)
(11, 6)
(11, 10)
(12, 1)
(12, 13)
(13, 2)
(13, 8)
(14, 5)
(14, 10)
