# n=14
# target=28
# trajectory_id=87
# R=5120
# T=15.0
# seed=221144935657157939
# α=10.0, β=1.0, γ=4.5
# method=ROCm AMDGPU Line-Based Custom RK4 Kernel (v1)
# col_normalization=mean-incidence
# timestamp=2026-02-12T18:09:04Z
#
# Grid (0/1):
0 0 0 0 0 0 0 1 0 1 0 0 0 0
0 0 0 1 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 0 1 0
0 0 0 0 0 0 0 1 0 0 0 1 0 0
0 0 0 0 0 1 1 0 0 0 0 0 0 0
1 0 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1 0 1 0 0
0 1 0 0 0 0 0 0 0 0 0 0 1 0
1 0 0 0 1 0 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 1 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0 0 1
0 0 1 0 0 0 0 0 0 0 1 0 0 0
0 0 0 0 0 0 1 0 1 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0 0 0 1
#
# Coordinates (row, col):
(1, 8)
(1, 10)
(2, 4)
(2, 6)
(3, 11)
(3, 13)
(4, 8)
(4, 12)
(5, 6)
(5, 7)
(6, 1)
(6, 3)
(7, 10)
(7, 12)
(8, 2)
(8, 13)
(9, 1)
(9, 5)
(10, 5)
(10, 9)
(11, 2)
(11, 14)
(12, 3)
(12, 11)
(13, 7)
(13, 9)
(14, 4)
(14, 14)
