# n=15
# target=30
# trajectory_id=96
# R=20000
# T=60.0
# seed=17850900341428101301
# α=425.0, β=1.0, γ=20.0
# timestamp=2026-02-03T13:31:27Z
#
# Grid (0/1):
0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 1 0 0 0 1 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 0 1 0 0
0 0 1 0 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
#
# Coordinates (row, col):
(1, 8)
(1, 9)
(2, 4)
(2, 7)
(3, 3)
(3, 4)
(4, 12)
(4, 13)
(5, 6)
(5, 10)
(6, 10)
(6, 15)
(7, 1)
(7, 13)
(8, 3)
(8, 15)
(9, 1)
(9, 6)
(10, 2)
(10, 8)
(11, 2)
(11, 14)
(12, 5)
(12, 14)
(13, 9)
(13, 11)
(14, 5)
(14, 7)
(15, 11)
(15, 12)
