# n=15
# target=30
# trajectory_id=4695
# R=5120
# T=10.0
# seed=9858897065130558569
# α=15.0, β=1.0, γ=5.0
# method=Metal GPU Custom RK4 Kernel
# timestamp=2026-02-10T16:11:06Z
#
# Grid (0/1):
0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
0 0 0 1 0 1 0 0 0 0 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0 1 0 0 0
0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0 0 0 0 1
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 1 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
0 0 0 0 1 0 0 1 0 0 0 0 0 0 0
0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
#
# Coordinates (row, col):
(1, 9)
(1, 10)
(2, 4)
(2, 6)
(3, 4)
(3, 12)
(4, 3)
(4, 14)
(5, 9)
(5, 11)
(6, 13)
(6, 14)
(7, 1)
(7, 2)
(8, 13)
(8, 15)
(9, 6)
(9, 7)
(10, 3)
(10, 15)
(11, 1)
(11, 2)
(12, 5)
(12, 8)
(13, 10)
(13, 12)
(14, 5)
(14, 8)
(15, 7)
(15, 11)
