# n=15
# target=30
# trajectory_id=126
# R=5000
# T=10.0
# seed=7771959397499852130
# α=10.0, β=1.0, γ=4.5
# method=Metal GPU Line-Based Custom RK4 Kernel (v3)
# col_normalization=mean-incidence
# timestamp=2026-02-12T18:11:41Z
#
# Grid (0/1):
0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
0 0 1 0 0 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 0 0 0 1
0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1 0 1 0
1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 1 0 0 0
1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 0 1 0 0
0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
#
# Coordinates (row, col):
(1, 3)
(1, 14)
(2, 8)
(2, 10)
(3, 3)
(3, 7)
(4, 10)
(4, 15)
(5, 4)
(5, 7)
(6, 11)
(6, 15)
(7, 2)
(7, 4)
(8, 5)
(8, 11)
(9, 12)
(9, 14)
(10, 1)
(10, 5)
(11, 9)
(11, 12)
(12, 1)
(12, 6)
(13, 9)
(13, 13)
(14, 6)
(14, 8)
(15, 2)
(15, 13)
