# n=15
# target=30
# trajectory_id=287
# R=5120
# T=15.0
# seed=221144935657157939
# α=10.0, β=1.0, γ=4.5
# method=ROCm AMDGPU Line-Based Custom RK4 Kernel (v1)
# col_normalization=mean-incidence
# timestamp=2026-02-12T18:10:19Z
#
# Grid (0/1):
0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 0 1 0 0
0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 1 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1 0 1 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
0 0 1 0 0 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
#
# Coordinates (row, col):
(1, 2)
(1, 13)
(2, 6)
(2, 8)
(3, 9)
(3, 13)
(4, 5)
(4, 6)
(5, 9)
(5, 12)
(6, 1)
(6, 15)
(7, 2)
(7, 4)
(8, 5)
(8, 11)
(9, 12)
(9, 14)
(10, 1)
(10, 15)
(11, 4)
(11, 7)
(12, 10)
(12, 11)
(13, 3)
(13, 7)
(14, 8)
(14, 10)
(15, 3)
(15, 14)
