# n=16
# target=32
# trajectory_id=2389
# R=5000
# T=25.0
# seed=6467554092396073161
# α=10.0, β=1.0, γ=4.5
# method=Metal GPU Line-Based Custom RK4 Kernel (v3)
# col_normalization=mean-incidence
# timestamp=2026-02-12T19:35:08Z
#
# Grid (0/1):
0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0
0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
#
# Coordinates (row, col):
(1, 10)
(1, 13)
(2, 5)
(2, 6)
(3, 8)
(3, 10)
(4, 5)
(4, 6)
(5, 13)
(5, 15)
(6, 1)
(6, 15)
(7, 1)
(7, 3)
(8, 9)
(8, 14)
(9, 3)
(9, 8)
(10, 14)
(10, 16)
(11, 2)
(11, 16)
(12, 2)
(12, 4)
(13, 11)
(13, 12)
(14, 4)
(14, 7)
(15, 11)
(15, 12)
(16, 7)
(16, 9)
