# n=17
# target=34
# trajectory_id=4817
# R=5000
# T=10.0
# seed=18236469211065442948
# α=7.25, β=1.0, γ=4.0
# method=Metal GPU Line-Based Custom RK4 Kernel
# timestamp=2026-02-11T18:15:20Z
#
# Grid (0/1):
0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0
0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0
#
# Coordinates (row, col):
(1, 6)
(1, 7)
(2, 5)
(2, 11)
(3, 2)
(3, 14)
(4, 7)
(4, 16)
(5, 10)
(5, 14)
(6, 2)
(6, 10)
(7, 9)
(7, 15)
(8, 1)
(8, 6)
(9, 15)
(9, 17)
(10, 12)
(10, 17)
(11, 1)
(11, 3)
(12, 8)
(12, 16)
(13, 4)
(13, 8)
(14, 11)
(14, 13)
(15, 3)
(15, 4)
(16, 5)
(16, 13)
(17, 9)
(17, 12)
