# n=8
# target=16
# trajectory_id=184
# R=5000
# T=10.0
# seed=10396967758931949178
# α=13.333333, β=1.0, γ=5.0
# method=Metal GPU Line-Based Custom RK4 Kernel (v3)
# col_normalization=mean-incidence
# timestamp=2026-02-12T15:06:06Z
#
# Grid (0/1):
0 0 0 1 0 1 0 0
0 1 0 1 0 0 0 0
1 0 0 0 0 0 0 1
0 0 1 0 1 0 0 0
0 0 0 0 0 0 1 1
0 0 1 0 1 0 0 0
1 0 0 0 0 0 1 0
0 1 0 0 0 1 0 0
#
# Coordinates (row, col):
(1, 4)
(1, 6)
(2, 2)
(2, 4)
(3, 1)
(3, 8)
(4, 3)
(4, 5)
(5, 7)
(5, 8)
(6, 3)
(6, 5)
(7, 1)
(7, 7)
(8, 2)
(8, 6)
