# n=8
# target=16
# trajectory_id=133
# R=5120
# T=15.0
# seed=221144935657157939
# α=13.333333, β=1.0, γ=5.0
# method=ROCm AMDGPU Line-Based Custom RK4 Kernel (v1)
# col_normalization=mean-incidence
# timestamp=2026-02-12T17:46:43Z
#
# Grid (0/1):
0 0 0 0 1 0 1 0
0 1 0 1 0 0 0 0
0 0 0 0 1 0 1 0
1 0 1 0 0 0 0 0
0 0 0 0 0 1 0 1
1 0 1 0 0 0 0 0
0 0 0 0 0 1 0 1
0 1 0 1 0 0 0 0
#
# Coordinates (row, col):
(1, 5)
(1, 7)
(2, 2)
(2, 4)
(3, 5)
(3, 7)
(4, 1)
(4, 3)
(5, 6)
(5, 8)
(6, 1)
(6, 3)
(7, 6)
(7, 8)
(8, 2)
(8, 4)
