# n=8
# target=16
# trajectory_id=49
# R=200
# T=15.0
# seed=5958215880812044737
# α=13.333333333333332, β=1.0, γ=5.0
# method=CPU Tsit5 Line-Based Gradient Flow (v6)
# coeff_mode=normalized
# col_normalization=mean-incidence
# timestamp=2026-02-22T21:07:17Z
#
# Grid (0/1):
0 0 1 1 0 0 0 0
1 0 0 0 0 1 0 0
0 0 0 0 1 0 1 0
1 0 0 0 1 0 0 0
0 1 0 0 0 0 0 1
0 0 0 0 0 1 1 0
0 1 1 0 0 0 0 0
0 0 0 1 0 0 0 1
#
# Coordinates (row, col):
(1, 3)
(1, 4)
(2, 1)
(2, 6)
(3, 5)
(3, 7)
(4, 1)
(4, 5)
(5, 2)
(5, 8)
(6, 6)
(6, 7)
(7, 2)
(7, 3)
(8, 4)
(8, 8)
