# n=9
# target=18
# trajectory_id=150
# R=200
# T=10.0
# seed=14911534145547157327
# α=15.0, β=1.0, γ=5.0
# solver=Metal GPU (EnsembleGPUKernel + GPUTsit5)
# timestamp=2026-02-09T18:31:12Z
#
# Grid (0/1):
0 0 0 1 0 0 1 0 0
0 0 0 0 0 1 0 1 0
1 0 1 0 0 0 0 0 0
0 1 1 0 0 0 0 0 0
0 0 0 0 0 0 1 0 1
1 0 0 0 1 0 0 0 0
0 0 0 1 0 0 0 1 0
0 1 0 0 0 0 0 0 1
0 0 0 0 1 1 0 0 0
#
# Coordinates (row, col):
(1, 4)
(1, 7)
(2, 6)
(2, 8)
(3, 1)
(3, 3)
(4, 2)
(4, 3)
(5, 7)
(5, 9)
(6, 1)
(6, 5)
(7, 4)
(7, 8)
(8, 2)
(8, 9)
(9, 5)
(9, 6)
