# n=9
# target=18
# trajectory_id=173
# R=5000
# T=10.0
# seed=15776112138218071417
# α=15.0, β=1.0, γ=5.0
# method=Metal GPU Custom RK4 Kernel
# timestamp=2026-02-09T18:38:31Z
#
# Grid (0/1):
0 0 1 0 1 0 0 0 0
0 0 0 1 0 0 0 1 0
0 1 0 1 0 0 0 0 0
0 0 0 0 0 0 1 0 1
0 0 0 0 0 0 0 1 1
1 1 0 0 0 0 0 0 0
1 0 0 0 1 0 0 0 0
0 0 0 0 0 1 1 0 0
0 0 1 0 0 1 0 0 0
#
# Coordinates (row, col):
(1, 3)
(1, 5)
(2, 4)
(2, 8)
(3, 2)
(3, 4)
(4, 7)
(4, 9)
(5, 8)
(5, 9)
(6, 1)
(6, 2)
(7, 1)
(7, 5)
(8, 6)
(8, 7)
(9, 3)
(9, 6)
