# n=9
# target=18
# trajectory_id=269
# R=5000
# T=10.0
# seed=16049227312267459574
# α=15.0, β=1.0, γ=5.0
# method=Metal GPU Line-Based Custom RK4 Kernel
# timestamp=2026-02-11T12:24:15Z
#
# Grid (0/1):
0 0 1 1 0 0 0 0 0
0 1 0 1 0 0 0 0 0
0 0 0 0 0 0 1 1 0
1 0 0 0 1 0 0 0 0
1 0 0 0 0 0 0 0 1
0 0 0 0 1 0 0 0 1
0 1 1 0 0 0 0 0 0
0 0 0 0 0 1 0 1 0
0 0 0 0 0 1 1 0 0
#
# Coordinates (row, col):
(1, 3)
(1, 4)
(2, 2)
(2, 4)
(3, 7)
(3, 8)
(4, 1)
(4, 5)
(5, 1)
(5, 9)
(6, 5)
(6, 9)
(7, 2)
(7, 3)
(8, 6)
(8, 8)
(9, 6)
(9, 7)
