# n=9
# target=18
# trajectory_id=2352
# R=5000
# T=10.0
# seed=1116863485222451933
# α=15.0, β=1.0, γ=5.0
# method=Metal GPU Line-Based Custom RK4 Kernel (v3)
# col_normalization=mean-incidence
# timestamp=2026-02-12T15:06:39Z
#
# Grid (0/1):
0 1 0 0 0 1 0 0 0
0 0 0 1 0 0 1 0 0
1 0 0 0 0 0 0 0 1
1 0 1 0 0 0 0 0 0
0 0 0 0 0 0 1 0 1
0 0 0 1 1 0 0 0 0
0 1 0 0 0 0 0 1 0
0 0 1 0 0 0 0 1 0
0 0 0 0 1 1 0 0 0
#
# Coordinates (row, col):
(1, 2)
(1, 6)
(2, 4)
(2, 7)
(3, 1)
(3, 9)
(4, 1)
(4, 3)
(5, 7)
(5, 9)
(6, 4)
(6, 5)
(7, 2)
(7, 8)
(8, 3)
(8, 8)
(9, 5)
(9, 6)
