# n=9
# target=18
# trajectory_id=72
# R=5120
# T=15.0
# seed=221144935657157939
# α=15.0, β=1.0, γ=5.0
# method=ROCm AMDGPU Line-Based Custom RK4 Kernel (v1)
# col_normalization=mean-incidence
# timestamp=2026-02-12T17:47:03Z
#
# Grid (0/1):
0 0 1 0 0 1 0 0 0
0 0 0 1 0 1 0 0 0
0 0 1 0 0 0 0 1 0
0 0 0 0 1 0 1 0 0
0 0 0 0 0 0 0 1 1
1 0 0 0 0 0 1 0 0
1 1 0 0 0 0 0 0 0
0 1 0 1 0 0 0 0 0
0 0 0 0 1 0 0 0 1
#
# Coordinates (row, col):
(1, 3)
(1, 6)
(2, 4)
(2, 6)
(3, 3)
(3, 8)
(4, 5)
(4, 7)
(5, 8)
(5, 9)
(6, 1)
(6, 7)
(7, 1)
(7, 2)
(8, 2)
(8, 4)
(9, 5)
(9, 9)
