# n=9
# target=18
# trajectory_id=265
# R=500
# T=15.0
# seed=9024344747089804520
# α=15.0, β=1.0, γ=5.0
# method=CPU Tsit5 Line-Based Gradient Flow (v6)
# coeff_mode=normalized
# col_normalization=mean-incidence
# timestamp=2026-02-20T12:31:02Z
#
# Grid (0/1):
0 0 0 0 0 0 1 1 0
0 0 1 0 1 0 0 0 0
1 0 0 0 0 0 0 0 1
0 0 0 1 0 1 0 0 0
1 0 0 0 0 0 0 0 1
0 0 0 1 0 1 0 0 0
0 1 0 0 0 0 0 1 0
0 0 1 0 0 0 1 0 0
0 1 0 0 1 0 0 0 0
#
# Coordinates (row, col):
(1, 7)
(1, 8)
(2, 3)
(2, 5)
(3, 1)
(3, 9)
(4, 4)
(4, 6)
(5, 1)
(5, 9)
(6, 4)
(6, 6)
(7, 2)
(7, 8)
(8, 3)
(8, 7)
(9, 2)
(9, 5)
